term:ID(Definition),definitionText,:LABEL
def_pol_liberty_1805efbe_7.12_INDUSTRIAL_INSTRUMENT,7.12 Industrial Instrument means:,Definition
def_pol_liberty_1805efbe_-_(A)_AN,"- (a) an award, collective or individual agreement, minimum wage order or any other instrument made or authorised under statute; or - (b) any other collective agreement, which regulates the terms and conditions of employment.",Definition
def_pol_liberty_1805efbe_7.13_INQUIRY_MEANS,"7.13 Inquiry means any administrative or regulatory proceeding, official investigation, inquiry or hearing (including any notice to produce documents) into the affairs of the Company or an Insured Person in his or her capacity as a Director, Officer or Employee and includes any request, direction or notice issued by an administrative or regulatory authority empowered by law which requires an Insured Person to prepare a response. The request, direction or notice requiring the Insured Person to respond to the administrative or regulatory authority or attend an Inquiry has to be first served upon the Company or the Insured Person and reported to Liberty during the Policy Period (or any applicable Extended Reporting Period). Inquiry does not include any routine supervision, inspection, compliance audit or similar review.",Definition
def_pol_liberty_1805efbe_7.14_INSURED_MEANS,7.14 Insured means any Insured Person and the Company.,Definition
def_pol_liberty_1805efbe_7.15_INSURED_PERSON,7.15 Insured Person means:,Definition
def_pol_liberty_1805efbe_-_(A)_ANY,"- (a) any past, present or future Director, Officer or Employee of the Company; - (b) the legal representatives, heirs, assigns or estates of a deceased, incapacitated or bankrupt Director, Officer or Employee of the Company in respect of any alleged Wrongful Act or, in the case of an Inquiry, alleged conduct of the Insured; - (c) any lawful spouse or domestic partner of a Director, Officer or Employee of the Company in respect of any alleged Wrongful Act of the Insured; - (d) a prospective Director in any listing particulars or prospectus issued by the Company;",Definition
def_pol_liberty_1805efbe_7.19_NORTH_AMERICA,"7.19 North America means the United States of America, Canada and their territories and protectorates.",Definition
def_pol_liberty_1805efbe_7.20_OFFICER_MEANS,7.20 Officer means an Employee who:,Definition
"def_pol_liberty_1805efbe_-_(A)_MAKES,","- (a) makes, or participates in making, decisions that affect the whole, or a substantial part, of the business of the Company; or - (b) is concerned in, or takes part in, the management of the Company.",Definition
def_pol_liberty_1805efbe_7.21_POLICY_MEANS,"7.21 Policy means this policy wording, any endorsements to it and the Schedule.",Definition
def_pol_liberty_1805efbe_7.22_POLICY_PERIOD,7.22 Policy Period means the period of time specified in the Schedule unless this Policy is cancelled in which event the Policy Period will end on the effective date of the cancellation.,Definition
def_pol_liberty_1805efbe_7.23_POLLUTANT_MEANS,"7.23 Pollutant means any solid, liquid, gaseous, biological or thermal irritant or contaminant including, but not limited to, smoke, vapour, soot, fumes, noise, acids, alkalis, compounds, chemicals, asbestos, mould or waste. Waste includes materials to be recycled, reconditioned or reclaimed.",Definition
def_pol_liberty_1805efbe_7.24_PREMIUM_MEANS,7.24 Premium means the amount payable by the Insured for this Policy including any applicable charges advised by Liberty.,Definition
def_pol_liberty_1805efbe_7.25_RAID_MEANS,"7.25 Raid means any raid on or on-site visit to the Company by any administrative or regulatory authority empowered by law to investigate the affairs of the Company or an Insured Person which first takes place and is notified to Liberty during the Policy Period that involves the interviewing of an Insured Person or the production, review, copying or confiscation of documents.",Definition
def_pol_liberty_1805efbe_7.26_RAID_EXPENSES,"7.26 Raid Expenses means the reasonable costs and expenses incurred by the Insured but only with the prior written consent of Liberty (which consent shall not be unreasonably withheld) in responding to a Raid. Raid Expenses do not include salaries, wages, allowances, and travel or accommodation expenses incurred by the Insured in assessing, investigating, dealing with and assisting others to deal with a Raid.",Definition
def_pol_liberty_1805efbe_7.27_SCHEDULE_MEANS,7.27 Schedule means the schedule attached to this Policy and signed by a person authorised by Liberty.,Definition
def_pol_liberty_1805efbe_7.28_SECURITIES_MEANS,7.28 Securities means any security representing an equity interest in or debt of the Company.,Definition
def_pol_liberty_1805efbe_7.29_SECURITIES_CLAIM,7.29 Securities Claim means any:,Definition
def_pol_liberty_1805efbe_-_(A)_WRITTEN,"- (a) written demand or civil proceeding brought either directly or derivatively by any holder of Securities (other than an Insured Person) in the holder’s capacity as an investor in the Company; - (b) criminal proceeding; or - (c) administrative or regulatory proceeding,",Definition
def_pol_liberty_1805efbe_IN_RELATION_TO,"in relation to the Company’s Securities, first made or brought against the Company and reported to Liberty during the Policy Period (or any applicable Extended Reporting Period) for a Wrongful Act.",Definition
