clauseId:ID(Clause),text,clauseNumber,:LABEL
cl_pol_chubb_672aec9c_b90ae10c,1. (i) the Limit of Liability; 2. (ii) any other directors and officers liability insurance which covers any part of that Loss; and 3. (iii) all other indemnification available to any director; have been exhausted.,,Clause
cl_pol_chubb_672aec9c_b58850c7,"The Individual Additional Excess Limit in Item 10(a) of the Schedule is part of and not in addition to the Aggregate Additional Excess Limit in Item 10(b) of the Schedule. The Aggregate Additional Excess Limit in Item 10(b) of the Schedule is the Insurer’s maximum aggregate liability for all Loss under this Extension for all directors irrespective of the number of claims under this Policy, the amount claimed or the number of directors who claim. The Aggregate Additional Excess Limit in Item 10(b) of the Schedule is in addition to, and not part of, the Limit of Liability. This Extension shall not apply to a reinstated Limit of Liability under Extension 2.1.",,Clause
cl_pol_chubb_672aec9c_9e134d7c,"Chubb Elite V Directors & Officers Liability Insurance Policy Schedule & Wording, Hong Kong SAR (v. Aug 2016). Published 01/2019.",,Clause
cl_pol_chubb_672aec9c_2b9887f7,"© 2019 Chubb. Coverages underwritten by one or more subsidiary companies. Not all coverages available in all jurisdictions. Chubb® and its respective logos, and Chubb. Insured.SM are protected trademarks of Chubb. ---",,Clause
cl_pol_chubb_672aec9c_996ec6ff,"(i) If during the Policy Period, the Company acquires or creates an entity so that it becomes a Subsidiary that:",,Clause
cl_pol_chubb_672aec9c_2094f9f3,- (a) has total assets less than the Acquisition Limit referred to in Item 6 of the Schedule; and - (b) has no listing of its Securities in the United States of America;,,Clause
cl_pol_chubb_672aec9c_4711644f,"then this Policy shall automatically extend to include such Subsidiary without notice to the Insurer or additional premium being payable, but only in respect of Wrongful Acts or conduct after such entity becomes a Subsidiary. For the purpose of this Extension 2.3, listing of equity pursuant to rule 144A of the Securities and Exchange Commission (USA) shall not constitute a public listing of Securities traded on any exchange in the United States of America.",,Clause
cl_pol_chubb_672aec9c_2a86c85e,"(ii) Any Subsidiary acquired or created during the Policy Period and not covered in item (i) above shall automatically be covered under this Policy for a period of 60 days from the date of acquisition or creation, but only in respect of Wrongful Acts or conduct after such entity becomes a Subsidiary. With the written agreement of the Insurer and subject to any additional premium and any amended terms and conditions, this Policy may be extended to include such Subsidiary beyond 60 days, but only in respect of Wrongful Acts or conduct after such entity becomes a Subsidiary.",,Clause
cl_pol_chubb_672aec9c_c167a059,"(iii) If the Company effects a sale or dissolution of a Subsidiary either prior to or during the Policy Period, this Policy shall continue to include such Subsidiary but only for Wrongful Acts or conduct prior to the effective date of sale or dissolution.",,Clause
cl_pol_chubb_672aec9c_3e4bcc6f,(iv) The Insurer shall only be liable for Loss in respect of Wrongful Acts or conduct whilst an entity is a Subsidiary.,,Clause
cl_pol_chubb_672aec9c_4aa1133a,"(v) The Insurer may extend this Policy to include Claims for Wrongful Acts by the Directors or Officers or Employees of an acquired Subsidiary prior to the time which such entity became a Subsidiary. Such Extension is subject to additional terms, conditions, and premium as the Insurer may require.",,Clause
cl_pol_chubb_672aec9c_86aa4a24,"If it is not possible for the Insured Person to obtain the Insurer’s prior written consent to the incurring of Defence Costs, Legal Representation Expenses, Bail Bond Costs, Public Relations Expenses, Crisis Costs and Pre-Investigation Costs, the Insurer will waive the requirement for prior written consent, as long as the Insurer’s consent is sought within 30 days of the first of such costs being incurred.",,Clause
cl_pol_chubb_672aec9c_4348446a,"Provided a Transaction has not taken place and this Policy is not renewed or replaced with any other policy affording directors and officers liability cover or where on renewal the policy no longer provides cover for Retired Directors or Officers, then this Policy shall be extended to cover any Retired Directors or Officers for an unlimited period following its expiry date, in respect of Claims made or Investigations commenced against such persons, but only in respect of Wrongful Acts or conduct prior to them ceasing to act as an Insured Person.",,Clause
cl_pol_chubb_672aec9c_af6cb833,"In the event of a Transaction taking place, the Insurer may extend this Policy to include Claims first made or Investigations first commenced against an Insured Person within a period of 84.",,Clause
cl_pol_chubb_672aec9c_efa49794,"Chubb Elite V Directors & Officers Liability Insurance Policy Schedule & Wording, Hong Kong SAR (v. Aug 2016). Published 01/2019.",,Clause
cl_pol_chubb_672aec9c_3fe1c4b8,"© 2019 Chubb. Coverages underwritten by one or more subsidiary companies. Not all coverages available in all jurisdictions. Chubb® and its respective logos, and Chubb. Insured.SM are protected trademarks of Chubb. --- months from the expiry date of the Policy Period. Such Extension is subject to additional terms, conditions, and premium as the Insurer may require.",,Clause
cl_pol_chubb_672aec9c_80d9f0d8,"(i) This Policy shall extend to include an Insured Person who at the specific request of the Company is a director, officer, trustee, governor or equivalent of any Outside Entity in their capacity as such.",,Clause
cl_pol_chubb_672aec9c_e915c087,(ii) Cover under this Extension shall be excess of any indemnification provided by the Outside Entity and any valid and collectible directors and officers liability insurance where such payment is made in respect of the Outside Entity.,,Clause
cl_pol_chubb_672aec9c_cc7c7b51,"(iii) If the Outside Entity’s directors and officers liability insurance is provided by the Insurer or any member of the Chubb Limited, then the total aggregate amount of available cover for Loss under this Extension shall be reduced by the amount paid to the Outside Entity or any Insured Person under such policy.",,Clause
cl_pol_chubb_672aec9c_83879fd6,In the event of an entity ceasing to be a Subsidiary as a result of a buy-out by existing management the Insurer agrees to maintain this Policy in respect of such entity for a period of 30 days from the date of the buy-out for Wrongful Acts or conduct subsequent to the buy-out. This Extension shall not apply in circumstances where there is other insurance in force which provides cover in respect of such Wrongful Acts or conduct.,,Clause
cl_pol_chubb_672aec9c_46f2919f,"A Wrongful Act under this Policy is extended to include an Insured Person’s personal liability under applicable insolvency legislation for the Company’s unpaid taxes solely by reason of their capacity or position as a Director or Officer without any allegation of wrongdoing, where the company shown in Item 1 of the Schedule has become insolvent, and except to the extent that such liability arises from a breach of any statutory duty governing the payment of taxes by the company shown at Item 1 of the Schedule at the deliberate instigation or with the full knowledge and/or assistance of such Insured Person.",,Clause
cl_pol_chubb_672aec9c_ee9ae1db,"This Policy covers, as Loss:",,Clause
cl_pol_chubb_672aec9c_df6220ce,(i) Bail Bond Costs;,,Clause
cl_pol_chubb_672aec9c_ea001204,(ii) Crisis Costs;,,Clause
cl_pol_chubb_672aec9c_7729b76c,(iii) Public Relations Expenses; or,,Clause
cl_pol_chubb_672aec9c_1e746da1,(iv) Reputation Protection Expenses.,,Clause
cl_pol_chubb_672aec9c_fc517d12,"This Policy covers, as Loss:",,Clause
cl_pol_chubb_672aec9c_bd91b8fe,(i) Defence Costs;,,Clause
cl_pol_chubb_672aec9c_1f8308cb,(ii) Bail Bond Costs;,,Clause
cl_pol_chubb_672aec9c_4fd52022,(iii) Crisis Costs;</pp>,,Clause
cl_pol_chubb_672aec9c_ff76e739,"Chubb Elite V Directors & Officers Liability Insurance Policy Schedule & Wording, Hong Kong SAR (v. Aug 2016). Published 01/2019.",,Clause
cl_pol_chubb_672aec9c_0e024a13,"© 2019 Chubb. Coverages underwritten by one or more subsidiary companies. Not all coverages available in all jurisdictions. Chubb® and its respective logos, and Chubb. Insured.SM are protected trademarks of Chubb. ---",,Clause
cl_pol_chubb_672aec9c_ac74f900,"This Policy covers, as Loss, Prosecution Costs arising from a Claim or Investigation.",,Clause
cl_pol_chubb_672aec9c_8388da99,"This Policy covers, as Loss, civil fines and civil penalties (including administrative fines and administrative penalties) imposed by law as a result of a Claim or Investigation, unless impermissible or uninsurable under applicable laws.",,Clause
cl_pol_chubb_672aec9c_82dd5f7f,"Notwithstanding Exclusion 4.6 this Policy covers, as Loss, all Defence Costs of an Insured Person and Legal Representation Expenses arising from any Claim or Investigation alleging involuntary manslaughter, constructive manslaughter or gross negligence manslaughter or a breach of the Occupational Safety and Health Ordinance (Cap. 509) (HK) or any similar legislation in any other jurisdiction.",,Clause
cl_pol_chubb_672aec9c_acc6cb4b,"This Policy covers, as Loss, Deprivation of Assets Expenses arising from a Claim or Investigation. The sub-limit of liability under this Extension shall not exceed USD100,000 per Insured Person. The Insurer’s maximum aggregate liability for cover under this Extension shall not exceed USD500,000 irrespective of the number of claims under this Policy, the amount claimed or the number of Insureds who claim.",,Clause
cl_pol_chubb_672aec9c_f0faf03b,"This Policy covers, as Loss, the reasonable and necessary fees, costs and expenses of an Insured Person (but not including any remuneration, cost of their time or costs or overheads of any Company) incurred, with the prior written consent of the Insurer, such consent not to be unreasonably withheld or delayed, directly with respect to:",,Clause
cl_pol_chubb_672aec9c_caba6c6a,1. any Pre-Investigation; and 2. preparing any written notice or reports to any official body in connection with any Pre-Investigation.,,Clause
cl_pol_chubb_672aec9c_e6586300,"With respect to Claims or Investigations solely in a Foreign Jurisdiction, the Insurer shall apply to such Claim or Investigation those terms and conditions of the Foreign Policy in such Foreign Jurisdiction that are more favourable to the Insured Person than the terms and conditions of this Policy. However, this Extension shall only apply to the Insuring Agreements and Definitions of this Policy and will specifically not apply to any terms or conditions of this Policy in any way relating to limits of liability, sub limits, retentions, other insurance, non-renewal, conduct of proceedings, taxes, claims made and dispute resolution provisions, nor anything itemised in the Schedule nor any matter contained in an endorsement to this Policy.",,Clause
cl_pol_chubb_672aec9c_116b687b,"Chubb Elite V Directors & Officers Liability Insurance Policy Schedule & Wording, Hong Kong SAR (v. Aug 2016). Published 01/2019.",,Clause
cl_pol_chubb_672aec9c_0d41a8aa,"© 2019 Chubb. Coverages underwritten by one or more subsidiary companies. Not all coverages available in all jurisdictions. Chubb® and its respective logos, and Chubb. Insured.SM are protected trademarks of Chubb. ---",,Clause
cl_pol_chubb_672aec9c_6e5eb7bf,"This Policy is extended to provide cover, as Loss, to the Company in the event and to the extent it is legally liable, pursuant to a court order, to indemnify the costs, charges and expenses incurred by a shareholder of the Company in pursuing a Claim against any Insured Person on behalf of the Company.",,Clause
cl_pol_chubb_672aec9c_f10ef9a1,"This Policy covers, as Loss, the Derivative Investigation Costs of an Insured Person.",,Clause
cl_pol_chubb_672aec9c_208bf3a6,The term Defence Costs expressly includes reasonable costs and expenses incurred by an Insured Person for counsel within their home jurisdiction to interpret and apply advice received from counsel in a Foreign Jurisdiction in response to any Securities Claim in such other jurisdiction.,,Clause
cl_pol_chubb_672aec9c_b2a2cdbe,"This Policy is extended to pay to or on behalf of an Insured Person all Loss resulting from an Environmental Proceeding up to the sub-limit in Item 14 of the Schedule, which shall apply in addition to, and not part of the Limit of Liability. The additional sub-limit shall not apply to a reinstated Limit of Liability under Extension 2.1.",,Clause
cl_pol_chubb_672aec9c_2b9fd0ec,This Policy is extended to pay to or on behalf of an Insured Person all Loss resulting from a Claim as a direct result of:,,Clause
cl_pol_chubb_672aec9c_6a055134,"1. any invasion infringement or interference with any right to privacy or of publicity, including any disclosure of Data which amounts to a breach of the relevant legislation; or 2. any unauthorised disclosure or use of any Confidential Information in Data form or information in Data form which is subject to statutory restriction on its disclosure or use.",,Clause
cl_pol_chubb_672aec9c_d5f37d14,"Such cover shall be subject to the sub-limit in Item 15 of the Schedule, which shall apply in addition to, and not part of the Limit of Liability. The additional sub-limit shall not apply to a reinstated Limit of Liability under Extension 2.1.",,Clause
cl_pol_chubb_672aec9c_4482e655,"This Policy is extended to cover the Insured under Insuring Agreements 1.A and 1.B, as Loss, for any Mitigation Loss, provided that:",,Clause
cl_pol_chubb_672aec9c_22488657,"1. the Insured demonstrates, to the reasonable satisfaction of the Insurer, that the incurring of such Mitigation Loss is reasonable and proportionate, and is reasonably likely to prevent or mitigate the potential Claim; 2. the circumstances resulting in the payment are reported in accordance with Condition 5.4; 3. any action taken is taken with the prior written consent of the Insurer (not to be unreasonably withheld or delayed); 4. the liability of the Insurer for Mitigation Loss shall in no event exceed the amount of covered Loss it would have incurred if a Claim were to be pursued against the Insured Person;",,Clause
cl_pol_chubb_672aec9c_c0f9d8f9,"Chubb Elite V Directors & Officers Liability Insurance Policy Schedule & Wording, Hong Kong SAR (v. Aug 2016). Published 01/2019. © 2019 Chubb. Coverages underwritten by one or more subsidiary companies. Not all coverages available in all jurisdictions. Chubb® and its respective logos, and Chubb. Insured.SM are protected trademarks of Chubb. --- (v) the burden of proving that any Claim would be covered under this Policy shall rest with the Insured.",,Clause
cl_pol_chubb_672aec9c_e7347585,This Extension shall not apply to a potential Claim by the Company against any Insured Person. Such cover shall be subject to the sub-limit in Item 16 of the Schedule.,,Clause
cl_pol_chubb_672aec9c_8b4aafc2,The amount of the depleted Limit of Liability following payment of Loss shall be reinstated to the extent of an amount equal to any sums recovered by the Insurer (net of the Insurer's reasonable expenses associated with such recovery).,,Clause
cl_pol_chubb_672aec9c_5499b445,"Notwithstanding Exclusion 4.2, coverage is provided under this Policy for Claim or Investigation, provided always that:",,Clause
cl_pol_chubb_672aec9c_28a7a12e,1. (i) the Claim or Investigation could have been notified under a policy that: 2. (a) was in force at the time the Insured first became aware of the Claim or Investigation; and 3. (b) has an inception date that is not prior to the date shown in Item 5 of the Schedule;,,Clause
cl_pol_chubb_672aec9c_45a5489c,"(ii) the Insured has maintained, without interruption, a directors and officers liability policy with the Insurer from the date shown in Item 5 of the Schedule; (iii) there has been no fraudulent non-disclosure or misrepresentation to the Insurer in respect of the Claim or Investigation; (iv) cover under this Extension will be in accordance with the terms, conditions, exclusions and limitations (including insuring agreement, schedule, limit of liability and retention) of the policy in force at the time the Insured first becomes aware of the Claim or Investigation but only where such earlier policy affords no broader cover in respect of the Claim or Investigation than the provisions of this Policy; and (v) the Insured agrees not to claim under more than one policy issued by the Insurer.",,Clause
cl_pol_chubb_672aec9c_9d2207d9,"The Insurer will advance any Defence Costs, Legal Representation Expenses, Bail Bond Costs, Deprivation of Assets Expenses, Overseas Travelling Costs, Prosecution Costs, Public Relations Expenses, Crisis Costs, Pre-Investigation Costs or Reputation Protection Expenses as provided under this Policy within 30 days of receipt of an invoice for same from the party approved by the Insurer prior to final disposition of any Claim or Investigation.",,Clause
cl_pol_chubb_672aec9c_feccf1c1,"means the reasonable premium (not including any collateral), incurred with the prior written consent of the Insurer, such consent not to be unreasonably withheld or delayed, for a bond or other financial instrument to guarantee an Insured Person’s contingent obligation for bail or equivalent in any jurisdiction required by a court in respect of any Claim.",,Clause
cl_pol_chubb_672aec9c_d9f45e60,1. (i) any written demand,,Clause
cl_pol_chubb_672aec9c_fa1d66d6,"Chubb Elite V Directors & Officers Liability Insurance Policy Schedule & Wording, Hong Kong SAR (v. Aug 2016). Published 01/2019.",,Clause
cl_pol_chubb_672aec9c_5257087c,"© 2019 Chubb. Coverages underwritten by one or more subsidiary companies. Not all coverages available in all jurisdictions. Chubb® and its respective logos, and Chubb. Insured.SM are protected trademarks of Chubb. --- (ii) any civil, statutory or arbitral proceeding;",,Clause
cl_pol_chubb_672aec9c_11b921f7,(iii) any criminal prosecution;,,Clause
cl_pol_chubb_672aec9c_a8999e6f,(iv) any formal administrative or regulatory proceeding;,,Clause
cl_pol_chubb_672aec9c_523ba975,(v) any alternative dispute resolution proceeding or mediation proceeding (including any counter-claim or proceeding brought in any employment tribunal or employment appeal tribunal);,,Clause
cl_pol_chubb_672aec9c_0d1989ac,"(vi) monetary, non monetary injunctive or equitable relief or other legal remedy;",,Clause
cl_pol_chubb_672aec9c_831eb342,(vii) a Derivative Proceeding; or,,Clause
cl_pol_chubb_672aec9c_67fdbe2e,(viii) a formal application to a court to prevent such a proceeding as stated in 3.2(vi) from being commenced;,,Clause
cl_pol_chubb_672aec9c_5c30862f,"against an Insured Person, for a Wrongful Act.",,Clause
cl_pol_chubb_672aec9c_c581042c,Claim also means:,,Clause
cl_pol_chubb_672aec9c_1c94aef1,(ix) any Extradition Proceeding;,,Clause
cl_pol_chubb_672aec9c_e8adbdfc,(x) a written request to waive or toll a statutory limitation period or a contractual time bar in respect of a Claim; or,,Clause
cl_pol_chubb_672aec9c_504c961b,(xi) any Securities Claim.,,Clause
cl_pol_chubb_672aec9c_5e6689fa,means the company shown in Item 1 of the Schedule and any Subsidiary at or before the commencement of the Policy Period or in the event of a bankruptcy proceeding the resulting debtor-in-possession or functional equivalent in any other jurisdiction.,,Clause
cl_pol_chubb_672aec9c_bdc8c357,"means all information intended by the Insured to remain confidential which is available to the Insured’s employees, Directors or Officers including but not limited to:",,Clause
cl_pol_chubb_672aec9c_38d9ebdb,(i) the existence or status of any discussions or negotiations taking place concerning any business purpose;,,Clause
cl_pol_chubb_672aec9c_0bc1957b,"(ii) any information that would be regarded as confidential by a reasonable business person relating to the business, affairs, customers, clients, suppliers, plans, intentions, or market opportunities of the disclosing party; or",,Clause
cl_pol_chubb_672aec9c_b89897a9,(iii) any information or analysis derived from (i) or (ii) above.,,Clause
cl_pol_chubb_672aec9c_60fb4ef9,"Confidential Information shall not include any information that is or becomes generally available to the public (other than as a result of its unauthorised disclosure by the Insured); or was available to a recipient on a non-confidential basis prior to disclosure by the Insured; was lawfully in the possession of the recipient before the information was disclosed to it; or the relevant parties agree in writing is not confidential or may be disclosed; or is developed by or for the recipient independently of the information disclosed; or is trivial, obvious or useless.",,Clause
cl_pol_chubb_672aec9c_e2089724,"means any reasonable professional fees, costs or expenses of any accredited:",,Clause
cl_pol_chubb_672aec9c_218d08e4,(i) counsellor; or,,Clause
cl_pol_chubb_672aec9c_4920e8ab,(ii) tax advisor;,,Clause
cl_pol_chubb_672aec9c_5bd2658b,"retained by an Insured Person, in respect of any Claim. The sub-limit of liability for Crisis Costs is the sub-limit specified in Item 11 of the Schedule.",,Clause
cl_pol_chubb_672aec9c_676778d9,"Chubb Elite V Directors & Officers Liability Insurance Policy Schedule & Wording, Hong Kong SAR (v. Aug 2016). Published 01/2019.",,Clause
cl_pol_chubb_672aec9c_1188dfdf,"© 2019 Chubb. Coverages underwritten by one or more subsidiary companies. Not all coverages available in all jurisdictions. Chubb® and its respective logos, and Chubb. Insured.SM are protected trademarks of Chubb.",,Clause
cl_pol_chubb_672aec9c_4cd61cd2,"Data means machine-readable information in digital format (excluding software) irrespective of the way it is used or rendered, including but not limited to text, voice recordings and images.",,Clause
cl_pol_chubb_672aec9c_465a7dd8,"Defence Costs means reasonable legal and other professional fees, costs and expenses incurred with the prior written consent of the Insurer, not to be unreasonably withheld or delayed, by or on behalf of an Insured in response to a Claim, directly in connection with its investigation, defence, settlement or appeal, but shall not include the remuneration of any Insured Person, cost of their time or costs or overheads of any Company. Defence Costs include the reasonable fees, costs and expenses of an accredited expert retained through the Insured’s defence counsel with the prior written approval of the Insurer to prepare an evaluation, report, assessment, diagnosis or rebuttal of evidence in connection with the defence of a Claim.",,Clause
cl_pol_chubb_672aec9c_208a1d5d,"Deprivation of Assets Expenses means the payment of the following services directly to the provider of such services in the event of an interim or interlocutory order confiscating, controlling, suspending or freezing rights of ownership of real property or personal assets of an Insured Person or creating a charge over real property or personal assets of the Insured Person during the Policy Period:",,Clause
cl_pol_chubb_672aec9c_8405583b,- (i) schooling; - (ii) housing; - (iii) utilities; and - (iv) personal insurances.,,Clause
cl_pol_chubb_672aec9c_5b387aac,Such expenses will only be payable after the exhaustion of any personal allowance directed by the court to meet such payments. Such expenses will be payable after 30 days following the event above for a period of up to 12 months.,,Clause
cl_pol_chubb_672aec9c_6af66e14,Derivative Demand means a written demand by any shareholder of a Company upon the board of directors (or equivalent management body) of such Company to commence a civil action on behalf of the Company against any Insured Person for a Wrongful Act under Divisions 2 and 4 of Part 14 of the Companies Ordinance (Cap. 622) (HK) or common law or any equivalent law in any other jurisdiction.,,Clause
